BE No,BE Date,Job No,HAWB/HBL No,AWB/BL No.,Type Of B/E,No Of Pkgs,Unit,Invoice Number,
4489728,13-Sep-2025,IR/51394/25-26,HAJ00021205,50180146710,Home,6,PKG,"5314447631, 65437970",
4474414,12-Sep-2025,IR/51395/25-26,,ONEYPKGF42544900,Home,"4,000",PKG,"871929857, 871932752, 871933865",
4511028,15-Sep-2025,IR/51396/25-26,526671151CHI,17618763640,Home,4,PKG,24805,
4540091,16-Sep-2025,IR/51397/25-26,WLHC25080166,258427534,Home,915,PKG,0225-278,
4490162,13-Sep-2025,IR/51398/25-26,S2501313801,02034765706,Home,16,PKG,"99-00889985, 99-00889986",
4716885,25-Sep-2025,IR/51399/25-26,SINC31453,SINCB25025682,SEZ-T,3,PKG,"6992089, 6992090",
4551239,17-Sep-2025,IR/51400/25-26,SINC31337,SINCB25025682,SEZ-T,2,PKG,"6975853, 6975854",
4551240,17-Sep-2025,IR/51401/25-26,SINC31452,SINCB25025682,SEZ-T,3,PKG,"6992079, 6992094, 6992100",
4598940,19-Sep-2025,IR/51402/25-26,GXPEW25081359,SNKO020250818770,Home,30,PLT,ADSNI202532,
4564649,17-Sep-2025,IR/51403/25-26,SINC31445,SINCB25025682,SEZ-T,5,PKG,"6990044, 6990045, 6990046, 6990047, 6990048",
4564644,17-Sep-2025,IR/51404/25-26,SINC31447,SINCB25025682,SEZ-T,6,PKG,"6990049, 6990053, 6990054",
4565315,17-Sep-2025,IR/51405/25-26,SINC31451,SINCB25025682,SEZ-T,6,PKG,"6990061, 6990062, 6990063",
4565317,17-Sep-2025,IR/51406/25-26,SINC31449,SINCB25025682,SEZ-T,6,PKG,"6990055, 6990056, 6990057",
4521718,15-Sep-2025,IR/51407/25-26,X6358991682,02039042220,Home,10,PKG,"21506636, 0620702252, 21506648, 21505217, 21505220, 21505233, 21505283, 21506540, 21506541, 21506626",
4565423,17-Sep-2025,IR/51408/25-26,SINC31450,SINCB25025682,SEZ-T,11,PKG,"6990058, 6990059, 6990060, 6990064, 6990065, 6990066",
4598933,19-Sep-2025,IR/51409/25-26,GXPEW25081355,SNKO020250818770,Home,20,PLT,ADSNI202531,
4517753,15-Sep-2025,IR/51411/25-26,4840732008,60750607701,Home,3,PKG,250907617,
4540657,16-Sep-2025,IR/51412/25-26,GXPEW25081358,HASLC01250823606,Home,22,PLT,ADSNI202530,
,,IR/51413/25-26,DSV1115045,NOMBL,Home,1,PKG,620694464,
4565502,17-Sep-2025,IR/51414/25-26,DSV1115045,72485269332,Home,1,PKG,620694464,
4545303,16-Sep-2025,IR/51415/25-26,DSE2509001,EGLV050501010952,Home,108,PLT,VI(MDF)-2025/345,
4520909,15-Sep-2025,IR/51416/25-26,HAJ00021211,50180146710,Home,1,PKG,5314447721,
4590000,18-Sep-2025,IR/51417/25-26,,BKK1245725,Home,10,PLT,LED0125080162,
4589704,18-Sep-2025,IR/51418/25-26,,BKK1245915,Home,2,PLT,LED0125080164,
4590543,18-Sep-2025,IR/51419/25-26,,"BKK1245729, BKK1245916",Home,194,PLT,"LED0125080163, LED25080005",
4591936,18-Sep-2025,IR/51420/25-26,,"BKK1245642, BKK1245663",Home,90,PLT,"LED0125080168, LED25080006",
4535912,16-Sep-2025,IR/51421/25-26,,S2501223139,Ex-Bond,"1,536",CTN,"15276496-1, 15276311-1",
4599903,19-Sep-2025,IR/51425/25-26,527986618CHI,15708947153,Home,1,PKG,1639891,
4567678,17-Sep-2025,IR/51426/25-26,412657308,15705797632,SEZ-Z,1,PKG,MTT-160016,
4590941,18-Sep-2025,IR/51427/25-26,,BKK1244240,Home,120,PLT,E230007250102,
4545621,16-Sep-2025,IR/51428/25-26,,DEBER2206191,Ex-Bond,38,PKG,65411340,
4566555,17-Sep-2025,IR/51429/25-26,412657309,15705797632,SEZ-Z,1,PKG,MTT-160017,
4566358,17-Sep-2025,IR/51430/25-26,412657310,15705797632,SEZ-Z,1,PKG,MTT-160018,
4566348,17-Sep-2025,IR/51431/25-26,412657311,15705797632,SEZ-Z,1,PKG,MTT-160019,
4565929,17-Sep-2025,IR/51432/25-26,AF208490,07467480405,Home,1,PKG,61203,
4566637,17-Sep-2025,IR/51433/25-26,AMS250465343,07403830341,In-Bond,3,PKG,"100023953, 100023959",
4592120,18-Sep-2025,IR/51434/25-26,,ONEYPENF16126700,Home,720,PKG,"871940888, 871940889, 871940918, 871940919",
4587228,18-Sep-2025,IR/51435/25-26,8XP7428,17615153622,SEZ-Z,4,PKG,6999055,
4585407,18-Sep-2025,IR/51436/25-26,,SINC32008,SEZ-Z,6,PKG,"6995341, 6995342",
4584799,18-Sep-2025,IR/51440/25-26,,SINC32009,SEZ-Z,6,PKG,"6996274, 6996275",
4585485,18-Sep-2025,IR/51441/25-26,,SINC32010,SEZ-Z,5,PKG,6996276,
4585411,18-Sep-2025,IR/51438/25-26,,SINC32011,SEZ-Z,6,PKG,"6996122, 6996123, 6996124, 6995343",
4591252,18-Sep-2025,IR/51442/25-26,9420632025FI,50150352190,Home,2,PKG,4505109,
4603771,19-Sep-2025,IR/51443/25-26,ORD0630392,HLCUBSC2507BJWV0,Home,40,PKG,"0620490407, 0620460479",
4567251,17-Sep-2025,IR/51444/25-26,,09877007921,Home,4,PKG,16229,
4566816,17-Sep-2025,IR/51445/25-26,S2501315958,02026539962,Home,7,PKG,"99-00889769, 99-00890026, 99-00890325",
4567200,17-Sep-2025,IR/51446/25-26,FRA27780581,17614885555,Home,159,PKG,"99-00890021, 99-00890323, 99-00890020, 99-00890322",
4578770,18-Sep-2025,IR/51447/25-26,FRA27780598,02039396501,Home,217,PKG,"99-00890453, 99-00890018, 99-00890496, 99-00890321",
4567300,17-Sep-2025,IR/51448/25-26,S2501315957,72479775636,Home,8,PKG,99-00890327,
4613040,19-Sep-2025,IR/51449/25-26,H237430,09843841582,Home,1,PKG,428490462,
4592595,18-Sep-2025,IR/51450/25-26,,S2501284164,Home,"1,883",CTN,"15280311-1, 15280277-1, 15278602-1, 15278054-1, 15278562-2, 15280777-1, 15279672-1, 15280783-1",
4601391,19-Sep-2025,IR/51451/25-26,4840732468,60750615600,SEZ-Z,2,PKG,250908739,
4591336,18-Sep-2025,IR/51453/25-26,,72476354272,Home,2,PKG,938563450,
4601396,19-Sep-2025,IR/51454/25-26,4840732469,60750615600,SEZ-Z,2,PKG,250908743,
4591600,18-Sep-2025,IR/51455/25-26,SA250902707,61846179000,Home,1,PKG,INV-GPPL-029,
4612732,19-Sep-2025,IR/51456/25-26,H296251,09843841582,Home,8,PKG,5314453271,
4585302,18-Sep-2025,IR/51459/25-26,,250705810335,Ex-Bond,55,PKG,"100023732, 100023731",
4597028,19-Sep-2025,IR/51460/25-26,SIN20049007,17617894284,Home,4,PKG,"129862-21508136, 130586-21508143, 130749-21508147, 130935-21508155, 130917-21508156, 620712722",
4596482,19-Sep-2025,IR/51461/25-26,412657220,15705797676,SEZ-T,2,PKG,MTT-159780,
4731097,25-Sep-2025,IR/51462/25-26,,MCLPKG25003664,Home,"1,065",CTN,"871966161, 871966162",
4699012,24-Sep-2025,IR/51463/25-26,H285528,15708974556,Home,7,PKG,"395878381, 395878388, 395878382, 395878383, 395878384",
4642370,22-Sep-2025,IR/51464/25-26,AAI0035077,15709659543,SEZ-T,4,PKG,6933617,
4591216,18-Sep-2025,IR/51465/25-26,FRA27780628,07470101625,Home,53,PKG,"99-00890027, 99-00890326",
4643688,22-Sep-2025,IR/51467/25-26,,76030156957,SEZ-T,6,PKG,"6942927, 6942957",
4603828,19-Sep-2025,IR/51468/25-26,FRA27780629,17614885566,Home,52,PKG,"99-00890022, 99-00890324, 99-00890556, 99-00890664",
4643690,22-Sep-2025,IR/51469/25-26,,76030156964,SEZ-T,6,PKG,"6942918, 6942958",
4603497,19-Sep-2025,IR/51470/25-26,FRA27780630,17614885732,Home,11,PKG,99-00890497,
4673450,23-Sep-2025,IR/51471/25-26,,76030156965,SEZ-T,2,PKG,6995256,
4797431,29-Sep-2025,IR/51473/25-26,,76030156966,SEZ-T,7,PKG,"6993124, 6993129, 6993174, 6996121",
4614384,19-Sep-2025,IR/51474/25-26,,GLGNSA241255,Home,20,CRT,AK-2508-015,
4751803,26-Sep-2025,IR/51475/25-26,S2501311209,91018336570,Home,13,PKG,15281369-4,
4752023,26-Sep-2025,IR/51476/25-26,S2501311200,91018336566,Home,10,PKG,15281369-3,
,,IR/51477/25-26,,,Home,,,,
4614384,19-Sep-2025,IR/51479/25-26,,GLGNSA241255,Home,20,CRT,AK-2508-015,
4626235,20-Sep-2025,IR/51480/25-26,HAJ00021261,05756037376,Home,5,PKG,"5314453289, 65440564",
4668198,23-Sep-2025,IR/51481/25-26,412657308,15705797632,SEZ-T,1,PKG,MTT-160016,
4667789,23-Sep-2025,IR/51482/25-26,412657309,15705797632,SEZ-T,1,PKG,MTT-160017,
4668200,23-Sep-2025,IR/51483/25-26,412657310,15705797632,SEZ-T,1,PKG,MTT-160018,
4669245,23-Sep-2025,IR/51484/25-26,412657311,15705797632,SEZ-T,1,PKG,MTT-160019,
4670379,23-Sep-2025,IR/51485/25-26,8XP7428,17615153622,SEZ-T,4,PKG,6999055,
4672813,23-Sep-2025,IR/51486/25-26,,SINC32008,SEZ-T,6,PKG,"6995341, 6995342",
4672824,23-Sep-2025,IR/51487/25-26,,SINC32011,SEZ-T,6,PKG,"6996122, 6996123, 6996124, 6995343",
4797049,29-Sep-2025,IR/51488/25-26,,SINC32009,SEZ-T,6,PKG,"6996274, 6996275",
6721853,06-Jan-2026,IR/51489/25-26,,SINC32010,SEZ-T,5,PKG,6996276,
4726702,25-Sep-2025,IR/51490/25-26,SHAAEB28130,17616822282,Home,5,PKG,0000530667,
4673452,23-Sep-2025,IR/51491/25-26,4840732468,60750615600,SEZ-T,2,PKG,250908739,
4670845,23-Sep-2025,IR/51492/25-26,4840732469,60750615600,SEZ-T,2,PKG,250908743,
4681947,23-Sep-2025,IR/51493/25-26,MAD23519210,60739966334,Home,1,PKG,386239385,
4727328,25-Sep-2025,IR/51494/25-26,SHAAEB28131,17616822282,Home,2,PKG,0000530672,
4877676,03-Oct-2025,IR/51495/25-26,884461483862,02359225121,Home,1,PKG,TR0002956113,
4667592,23-Sep-2025,IR/51496/25-26,S2501170662,MEDUOW011532,In-Bond,"1,960",CTN,"15279173-1, 15279177-1",
4802817,29-Sep-2025,IR/51497/25-26,,SINC32370,SEZ-Z,5,PKG,6996262,
4664058,22-Sep-2025,IR/51498/25-26,S2501222107,MEDUOW011532,In-Bond,400,CTN,15279772-1,
4802831,29-Sep-2025,IR/51499/25-26,,SINC32294,SEZ-Z,2,PKG,6996263,
4802826,29-Sep-2025,IR/51500/25-26,,SINC32293,SEZ-Z,9,PKG,"6996266, 6996278",
4802824,29-Sep-2025,IR/51501/25-26,,SINC32369,SEZ-Z,4,PKG,6941456,
4802830,29-Sep-2025,IR/51502/25-26,,SINC32292,SEZ-Z,7,PKG,"6995338, 6996277",
4709975,24-Sep-2025,IR/51503/25-26,SHAS01024119,OOLU2038005190,Home,4,PLT,1005969460,
4679590,23-Sep-2025,IR/51131/25-26,,S327785615,Home,9,UNT,"90234716, 90234718, 90234720, 90234722, 90234724, 90234726, 90234728, 90234730, 90234732",
4657749,22-Sep-2025,IR/51478/25-26,H318242,02043963603,Home,5,PKG,"395882166, 395882182, 395882250",
4657128,22-Sep-2025,IR/51466/25-26,BCN00114540,05755896691,Home,2,PKG,386240356,
4655614,22-Sep-2025,IR/51439/25-26,,BKK1244237,Home,36,PLT,E230007250103,
4664739,22-Sep-2025,IR/50934/25-26,NLRTMMUCSE000012,HBG2017029,Home,"1,436",PKG,"TR0002880706, TR0002880223",
4656637,22-Sep-2025,IR/51457/25-26,HAJ00021260,05756037376,Home,1,PKG,5314453278,
4657151,22-Sep-2025,IR/51458/25-26,,02032419424,Home,15,PKG,"5314453418, 5314453412",
4655237,22-Sep-2025,IR/51437/25-26,,HGCK250892162,Home,28,BDL,001PIFJYVII2025,
4664598,22-Sep-2025,IR/51410/25-26,NSA000045922,RTM1538308,Home,11,PLT,1005923331,
4677826,23-Sep-2025,IR/51282/25-26,,S327899614,Home,6,UNT,"116626, 116627, 116628, 116629, 116630, 116631",
4664594,22-Sep-2025,IR/51231/25-26,522691447WAW,GDY0388911,Home,1,PKG,1005865265,
4678382,23-Sep-2025,IR/51158/25-26,,S327671521,Home,66,UNT,"1338028930, 1338028931, 1338028932",
4679231,23-Sep-2025,IR/51159/25-26,,S327780101,Home,49,UNT,"74363610, 74363611, 74363612, 74364087, 74364088, 74364090, 74364092, 74364094, 74364096, 74368703 ...+39 more",
4675439,23-Sep-2025,IR/51160/25-26,,S327899020,Home,1,UNT,20443875,
4678040,23-Sep-2025,IR/51161/25-26,,S327899024,Home,3,UNT,94036384,
4707836,24-Sep-2025,IR/51422/25-26,,HOEGG834BRMU0101,Home,16,UNT,"1004228349, 1004229085, 1004230794, 1004232876, 1004234093, 1004244501, 1004245219, 1004248816, 1004250841, 1004255870 ...+6 more",
4690273,23-Sep-2025,IR/51423/25-26,,HOEGG834BRMU0102,Home,15,UNT,"1004226809, 1004224384, 1004231907, 1004239544, 1004244811, 1004244654, 1004242227, 1004241653, 1004258202, 1004262709 ...+5 more",
4692471,24-Sep-2025,IR/51424/25-26,,HOEGG834SOMU2101,Home,15,UNT,"1230413181, 1230413180, 1230414952, 1230414590, 1230415529, 1230415169, 1230415815, 1230416538, 1230418849, 1230418684 ...+5 more",
4692059,24-Sep-2025,IR/51043/25-26,,HOEGY119XVMU0001,Home,4,UNT,"1004285359, 1004285371, 1004285373, 1004285379",
4796123,29-Sep-2025,IR/51504/25-26,SAE000433850,05701893356,Home,3,PKG,SO-0235265,
4681535,23-Sep-2025,IR/51505/25-26,X6359110044,23587085773,Home,7,PKG,"21512604, 21512605, 21512638, 21512626, 21512057, 21512101",
4677816,23-Sep-2025,IR/51506/25-26,ASST256155,23587034220,Ex-Bond,1,PKG,"168234281, 168234282",
4760604,26-Sep-2025,IR/51507/25-26,SHNVS25162694,SHACB25051337,Home,1,PLT,BH250045,
4819245,30-Sep-2025,IR/51509/25-26,,BSL0088768,Home,10,PLT,5314414290,
4703899,24-Sep-2025,IR/51510/25-26,TP1A03095395,29769865751,Home,6,PLT,LF125091801,
4760316,26-Sep-2025,IR/51511/25-26,,BKKS2500572,Home,"2,144",CTN,"15278468-1, 15278450-1",
4742373,26-Sep-2025,IR/51512/25-26,4840733004,60750615655,SEZ-Z,1,PKG,250909999,
4786659,27-Sep-2025,IR/51513/25-26,,BKKS2500535,Home,603,CTN,15281010-1,
4769616,27-Sep-2025,IR/51514/25-26,,DEBER2222821,Home,52,PKG,"5314424183, 5314424184, 65427394",
4709959,24-Sep-2025,IR/51515/25-26,,JL25090491,Home,60,PLT,E230008250101,
4807117,29-Sep-2025,IR/51516/25-26,9421422025FI,09877113702,Home,1,PKG,4505294,
4700941,24-Sep-2025,IR/51517/25-26,SIN20049015,61846424140,Home,3,PKG,"130935-21514355, 130749-21514366",
4732651,25-Sep-2025,IR/51518/25-26,S2501301924,HLCUKUL250908176,Home,"2,140",CTN,15281315-1,
4741455,26-Sep-2025,IR/51519/25-26,8XP7470,17615154075,SEZ-Z,5,PKG,"7002609, 6996265",
4741731,26-Sep-2025,IR/51520/25-26,8XP7471,17615154075,SEZ-Z,5,PKG,7002608,
4719346,25-Sep-2025,IR/51521/25-26,AMS00000969,09843813825,Home,1,PKG,432957-4,
4723301,25-Sep-2025,IR/51522/25-26,H337349,23571646923,Home,2,PKG,"395884184, 395884188",
4769582,27-Sep-2025,IR/51523/25-26,SGSIN0000188927,KMTCSIN3266496,Home,23,PLT,620687439,
4704454,24-Sep-2025,IR/51524/25-26,S2501329689,02026539973,Home,9,PKG,"99-00891037, 99-00891276, 99-00891481",
4704436,24-Sep-2025,IR/51525/25-26,FRA27780981,17614885570,Home,73,PKG,"99-00891035, 99-00891274",
4704315,24-Sep-2025,IR/51526/25-26,FRA27780982,02039396512,Home,125,PKG,"99-00891036, 99-00891273",
4727459,25-Sep-2025,IR/51528/25-26,H338115,23571646923,Home,8,PKG,"395884202, 395884203, 395884207, 395884208, 395884206, 395884209, 395884204, 395884205",
4727174,25-Sep-2025,IR/51529/25-26,H347590,02043964362,Home,4,PKG,5314459094,
4727996,25-Sep-2025,IR/51530/25-26,FRA27780845,23531246994,Home,60,PKG,"99-00891038, 99-00891277",
4765208,27-Sep-2025,IR/51531/25-26,HAJ00021323,07471154016,Home,7,PKG,"65442960, 5314459096",
4770996,27-Sep-2025,IR/51532/25-26,S2501299373,SCLCMBNSA02047,Home,3,PLT,"15280684-1, 15280911-1, 15281787-1, 15282403-1",
4773212,27-Sep-2025,IR/51533/25-26,,BKK1247203,Home,6,PLT,LED0125090054,
4773239,27-Sep-2025,IR/51534/25-26,,BKK1247211,Home,8,PLT,LED0125090057,
4773618,27-Sep-2025,IR/51535/25-26,,BKK1247210,Home,1,PLT,LED0125090056,
4773902,27-Sep-2025,IR/51536/25-26,,"BKK1247209, BKK1247212, BKK1247213",Home,148,PLT,"LED0125090055, LED0125090058, LED25090004",
4778406,27-Sep-2025,IR/51537/25-26,S2501288966,SCLCMBNSA02047,Home,4,PLT,"15278015-1, 15274550-4, 15276627-1",
4996610,09-Oct-2025,IR/51538/25-26,G326637,93275081311,Home,1,PKG,3744421,
4751811,26-Sep-2025,IR/51539/25-26,SIN20049021,17617894774,Home,2,PKG,620746766,
4754468,26-Sep-2025,IR/51540/25-26,S2501337720,02034882864,Home,176,PKG,99-00891836,
4773754,27-Sep-2025,IR/51542/25-26,VIS82003858,17614903965,Home,7,PKG,428520661,
4745783,26-Sep-2025,IR/51543/25-26,FRA27781105,17614885581,Home,9,PKG,99-00891469,
4754409,26-Sep-2025,IR/51544/25-26,H237424,02043964266,Home,6,PKG,"395887806, 395887816, 395887804, 395887805",
4822018,30-Sep-2025,IR/51545/25-26,8XP7471,17615154075,SEZ-T,5,PKG,7002608,
4820771,30-Sep-2025,IR/51546/25-26,4840733004,60750615655,SEZ-T,1,PKG,250909999,
4820774,30-Sep-2025,IR/51547/25-26,8XP7470,17615154075,SEZ-T,5,PKG,"7002609, 6996265",
4780920,27-Sep-2025,IR/51548/25-26,,HOSE25090362,Home,10,PLT,EX202509-77C,
4778222,27-Sep-2025,IR/51549/25-26,S2501278394,OOLU2311232490,Home,2,PLT,15281092-1,
4842501,01-Oct-2025,IR/51550/25-26,,ONEYTYOFH2782400,Home,95,CAS,RAD005382601,
4779198,27-Sep-2025,IR/51551/25-26,,BKK1242852,Home,48,PLT,E230007250104,
4810137,29-Sep-2025,IR/51552/25-26,ORD0622487,17617476012,Home,1,PKG,"0620762608, 0620762609",
4774975,27-Sep-2025,IR/51553/25-26,S2501337719,02034882875,Home,15,PKG,99-00891842,
4774973,27-Sep-2025,IR/51554/25-26,S2501337717,02034882875,Home,161,PKG,99-00891843,
4819241,30-Sep-2025,IR/51555/25-26,,524212856WAW,Home,13,PKG,1005945959,
4810618,29-Sep-2025,IR/51556/25-26,OH25060008,255135950,Ex-Bond,21,PKG,"168149623, 168149624, 168149625",
4825673,30-Sep-2025,IR/51557/25-26,4840733435,60750615762,SEZ-Z,1,PKG,250912477,
4825671,30-Sep-2025,IR/51558/25-26,4840733870,60750615762,SEZ-Z,1,PKG,250913177,
5045599,11-Oct-2025,IR/51559/25-26,,FRA1065281,Home,18,PKG,99-00887065,
4823581,30-Sep-2025,IR/51560/25-26,S2501222107,MEDUOW011532,Ex-Bond,96,CTN,15279772-1,
4848832,01-Oct-2025,IR/51561/25-26,SHAAEB28241,17616823030,Home,2,PKG,0000547585,
4834590,30-Sep-2025,IR/51562/25-26,S2501291383,HLCUKUL250908271,Home,420,CTN,15280745-1,
4851466,01-Oct-2025,IR/51563/25-26,X6359110055,23587085806,Home,12,PKG,"21518823, 21518139, 21518140, 21518141, 21518142, 21518145, 21518223, 21518716, 21518725, 21518792 ...+1 more",
4968301,08-Oct-2025,IR/51564/25-26,,SINC32370,SEZ-T,5,PKG,6996262,
4968303,08-Oct-2025,IR/51565/25-26,,SINC32294,SEZ-T,2,PKG,6996263,
4852067,01-Oct-2025,IR/51566/25-26,S2501278007,A59FX07185,Home,7,PLT,15282614-1,
4968519,08-Oct-2025,IR/51567/25-26,,SINC32293,SEZ-T,9,PKG,"6996266, 6996278",
4844685,01-Oct-2025,IR/51568/25-26,,JL25090608,Home,36,PLT,E230008250104,
4830678,30-Sep-2025,IR/51569/25-26,PIL18510,09830664454,Home,1,PKG,1525013822,
4848836,01-Oct-2025,IR/51570/25-26,SHAAEB28242,17616823030,Home,1,PKG,0000547584,
4968299,08-Oct-2025,IR/51571/25-26,,SINC32369,SEZ-T,4,PKG,6941456,
4834651,30-Sep-2025,IR/51572/25-26,S2501278984,SCLCMBNSA02047,In-Bond,1,PLT,15278295-1,
4909494,04-Oct-2025,IR/51573/25-26,GXPEW25090584,HASLC01250823751,Home,17,PLT,ADSNI202533,
5461197,03-Nov-2025,IR/51574/25-26,,SINC32292,SEZ-T,7,PKG,"6995338, 6996277",
4870618,03-Oct-2025,IR/51575/25-26,,76030157473,SEZ-Z,5,PLT,6942930,
4844691,01-Oct-2025,IR/51576/25-26,,JL25090505,Home,96,PLT,E230008250103,
4872904,03-Oct-2025,IR/51577/25-26,,76030157475,SEZ-Z,5,PLT,6999091,
4837967,30-Sep-2025,IR/51578/25-26,2025009174,258458857,In-Bond,95,PKG,"4890112300, 4890112302, 4890112306, 4890112312",
4910976,04-Oct-2025,IR/51579/25-26,GXPEW25090583,HASLC01250904612,Home,19,PLT,ADSNI202534,
4837166,30-Sep-2025,IR/51580/25-26,S2501288741,HLCUKUL250908311,Home,"2,140",CTN,15281320-1,
4837522,30-Sep-2025,IR/51581/25-26,S2501288778,HLCUKUL250908060,Home,"2,140",CTN,15281318-1,
4910973,04-Oct-2025,IR/51582/25-26,GXPEW25090582,HASLC01250904612,Home,30,PLT,ADSNI202535,
4868583,03-Oct-2025,IR/51583/25-26,4840734265,60750615972,SEZ-Z,1,PKG,250913973,
4836992,30-Sep-2025,IR/51584/25-26,S2501301839,HLCUKUL250908110,Home,"2,140",CTN,15281314-1,
4869007,03-Oct-2025,IR/51585/25-26,4840734264,60750615972,SEZ-Z,1,PKG,250913971,
4852856,01-Oct-2025,IR/51586/25-26,H392480,09843841571,Home,2,PKG,"395890278, 395890279, 395890280, 395890281",
4852060,01-Oct-2025,IR/51587/25-26,S2501291458,HLCUKUL250908132,Home,"2,140",CTN,15281322-1,
4857793,01-Oct-2025,IR/51588/25-26,NSA000047143,SCJUA3434950AA,Home,3,PLT,1005940568,
4855721,01-Oct-2025,IR/51589/25-26,DEBER2224311,MEDURM978462,In-Bond,42,PKG,65424565,
4879245,03-Oct-2025,IR/51590/25-26,DEBER2227961,MEDUKJ029736,Home,61,PKG,"5314425215, 65427836, 65427837",
4923917,06-Oct-2025,IR/51591/25-26,4840733435,60750615762,SEZ-T,1,PKG,250912477,
4923919,06-Oct-2025,IR/51592/25-26,4840733870,60750615762,SEZ-T,1,PKG,250913177,
4852032,01-Oct-2025,IR/51593/25-26,H370664,09843841571,Home,4,PKG,"395890583, 395890582, 395890580, 395890581",
4851794,01-Oct-2025,IR/51594/25-26,S2501341473,02026539984,Home,7,PKG,"99-00891978, 99-00892218",
4852352,01-Oct-2025,IR/51595/25-26,FRA27781185,02039402160,Home,309,PKG,"99-00891973, 99-00891974, 99-00892217",
4852055,01-Oct-2025,IR/51596/25-26,S2501288794,HLCUKUL250908081,Home,"2,140",CTN,15281316-1,
4852396,01-Oct-2025,IR/51597/25-26,S2501310298,ONEYBKKFU8210300,Home,5,PLT,15283300-1,
4891048,03-Oct-2025,IR/51598/25-26,,HS25090423,Home,25,PKG,"CI4SO251408, CI4SO251408A",
5104783,14-Oct-2025,IR/51599/25-26,S2501325940,045FX16265,Home,2,PLT,15281079-1,
4881383,03-Oct-2025,IR/51600/25-26,,BKK1245749,Home,84,PLT,E230008250102,
5044555,11-Oct-2025,IR/51601/25-26,,BSL0090112,Home,10,PLT,5314430974,
4877675,03-Oct-2025,IR/51602/25-26,SIN20049031,17617895356,Home,1,PKG,131233-21523421,
4937101,06-Oct-2025,IR/51603/25-26,SINC32674,SINCB25027754,SEZ-Z,19,PKG,"6999090, 6999093, 6999094, 6999098",
4888348,03-Oct-2025,IR/51604/25-26,ORD00064734,75250027176,Home,2,PKG,"558447, 558448",
4889996,03-Oct-2025,IR/51605/25-26,,BKK1247702,Home,10,PLT,LED0125090082,
4890259,03-Oct-2025,IR/51606/25-26,,BKK1247704,Home,2,PLT,LED0125090084,
4890435,03-Oct-2025,IR/51607/25-26,,"BKK1247703, BKK1247705",Home,148,PLT,"LED0125090083, LED25090005",
4889471,03-Oct-2025,IR/51608/25-26,S2501317964,NCLNSA2003,Home,1,PLT,15281184-1,
4906437,04-Oct-2025,IR/51609/25-26,G474442,93276783932,Home,1,PKG,3747545,
4937810,06-Oct-2025,IR/51610/25-26,SINC32768,SINCB25027754,SEZ-Z,5,PKG,"6996272, 6996273",
4908042,04-Oct-2025,IR/51611/25-26,G424216,93276783932,Home,1,PKG,3746397,
4909697,04-Oct-2025,IR/51612/25-26,G424217,17617760234,Home,4,PKG,3746396,
4938048,06-Oct-2025,IR/51613/25-26,SINC32727,SINCB25027754,SEZ-Z,1,PKG,7001089,
4905704,04-Oct-2025,IR/51614/25-26,H084855,93276783932,Home,1,PKG,3749269,
4906435,04-Oct-2025,IR/51615/25-26,H043753,93276783932,Home,1,PKG,3748491,
4906439,04-Oct-2025,IR/51616/25-26,H000320,93276783932,Home,1,PKG,3747779,
4908635,04-Oct-2025,IR/51617/25-26,H404237,93276783932,Home,1,PKG,3756128,
4909710,04-Oct-2025,IR/51618/25-26,H326171,93276783932,Home,1,PKG,3754571,
4884599,03-Oct-2025,IR/51619/25-26,529838077AMS,23571609624,Home,1,PKG,1006005478,
4939965,06-Oct-2025,IR/51620/25-26,SINC32725,SINCB25027754,SEZ-Z,6,PKG,"6995989, 7002139, 7004184, 7004185",
4912072,04-Oct-2025,IR/51621/25-26,H404176,93276783932,Home,3,PKG,3756126,
4914804,04-Oct-2025,IR/51622/25-26,H400605,50118776181,Home,4,PKG,5314464735,
4909427,04-Oct-2025,IR/51623/25-26,83398597,KMTCJKT5263799,Home,6,PKG,CIF/2025/0010/10,
4912401,04-Oct-2025,IR/51624/25-26,G424218,93276783932,Home,3,PKG,3746431,
4939961,06-Oct-2025,IR/51625/25-26,SINC32675,SINCB25027754,SEZ-Z,8,PKG,"6995793, 6995796, 6999102, 6999103",
4898091,04-Oct-2025,IR/51626/25-26,FRA27781200,17614885791,Home,155,PKG,"99-00891975, 99-00891976, 99-00891977, 99-00892216, 99-00892348, 99-00892433, 99-00892479",
4904068,04-Oct-2025,IR/51627/25-26,FRA27781132,15738363006,Home,83,PKG,"99-00891979, 99-00892219",
4888352,03-Oct-2025,IR/51628/25-26,S2501341658,02034882945,Home,92,PKG,99-00892220,
4889504,03-Oct-2025,IR/51629/25-26,SIN20049026,17617895356,Home,3,PKG,"620757094, 128824-21520883, 130426-21520886, 130935-21520888, 131153-21520895, 131123-21520896",
4922348,05-Oct-2025,IR/51630/25-26,G430699,93276783932,Home,3,PKG,"3746338, 3746624",
4912166,04-Oct-2025,IR/51631/25-26,H420392,17617760481,Home,4,PKG,3756127,
4913203,04-Oct-2025,IR/51632/25-26,H402799,09877003356,Home,1,PKG,3756098,
5010168,10-Oct-2025,IR/51633/25-26,,76030157473,SEZ-T,5,PLT,6942930,
6628672,31-Dec-2025,IR/51634/25-26,,76030157475,SEZ-T,5,PLT,6999091,
